Provincia;Index Localidad;Localidad;Pagina;Index Pagina;Nombre;CIF;Telefono;Email;Web;Calle y Numero;Codigo Postal;Forma Juridica;Objeto Social;CNAE;CNAE Literal;SIC;SIC Literal
Alava;0;Alegria-dulantzi;1;0;Abant Innova Rehabilitaciones S.l.;B01451806;SIN DATOS;SIN DATOS;SIN DATOS;C/ URIBE, 7 - ALEGRIA DULANTZI ALAVA.;01240;SOCIEDAD LIMITADA;REALIZACIÓN DE TRABAJOS DE REHABILITACIÓN DE VIVIENDAS, O LOCALES COMERCIALES OFICINAS Y EN GENERAL LA EJECUCIÓN DE CUALQUIER TIPO DE OBRA CIVIL PÚBLICA O PRIVADA, ASÍ COMO LA CONSULTORÍA Y ASESORAMIENTO INMOBILIARIO DE CUALQUIER TIPO DE EMPRESA, SEA ESTA PERSONA FÍSICA Y/O JURÍDICA. LA COMPRA Y VEN;4331;Revocamiento;1741;Albañilería
Alava;0;Alegria-dulantzi;1;1;Aberasturi-dulantzi S.l.;B01353697;945420005;SIN DATOS;SIN DATOS;C/ GASTEIZBIDEA, 4 ALEGRIA-DULANTZI.;01240;SOCIEDAD LIMITADA;EL COMERCIO DE CUALQUIER CLASE DE PRODUCTOS ALIMENTICIOS Y BEBIDAS, PRODUCTOS DEDROGUERIA Y ARTÍCULOS DE MENAJE;4719;Otro comercio al por menor en establecimientos no especializados;5311;GRANDES ALMACENES
Alava;0;Alegria-dulantzi;1;2;Agro Balsategui sl;B01381375;SIN DATOS;SIN DATOS;SIN DATOS;C/ FORTALEZA., 21 BAJO IZDA.;01240;SOCIEDAD LIMITADA;"LA EXPLOTACION AERICOLA, GANADERA Y FORESTAL; LA COMPRAVENTA Y ARRENDAMIENTO DE BIENES INMUEBLES";0220;Explotación de la madera;0849;Obtención de productos forestales SC
Alava;0;Alegria-dulantzi;1;3;Agrupacion de Productores de la Patata de Alava Appal sa;A01109008;SIN DATOS;SIN DATOS;SIN DATOS;ALEGRIA, DULANTZI.-;01240;SOCIEDAD ANONIMA;PROMOCION Y COMERCIO DE PRODUCTOS AGRARIOS Y ALIMENTARIOS.-;4631;Comercio al por mayor de frutas y hortalizas;5148;Frutas frescas y verduras
Alava;0;Alegria-dulantzi;1;4;Aislamientos Aitza sl en Liquidacion;B01427285;SIN DATOS;SIN DATOS;SIN DATOS;C/ MAYOR, 21.;01240;SOCIEDAD LIMITADA;"LA COLOCACION DE AISLAMIENTOS FONICOS, TERMICOS, ACUSTICOS; IMPERMEABILIZACION DE EDIFICIOS; TRABAJOS DE PINTURA EN GENERAL; CONSTRUCCION EN GENERAL; COMERCIO DE INMUEBLES.-";4329;Otras instalaciones en obras de construcción;1799;CONTRATISTAS ESPECIALIZADOS SC
Alava;0;Alegria-dulantzi;1;5;Al Amal S.c.;J01959170;SIN DATOS;SIN DATOS;SIN DATOS;DULANTZI, Nº 6;01240;Otras Formas Jurídicas;SIN DATOS;4631;Comercio Al Por Mayor De Frutas Y Hortalizas;5148;Frutas Frescas Y Verduras
